kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,Target
6871071,CONFIRMED,3.2828024,3.2532,142.5,24.4,1.79,1467.0,1093.39,5640.0,4.087,1.515,1.0
10019643,CONFIRMED,21.34736612,4.184,630.5,53.1,3.2,648.0,41.65,5395.0,4.324,1.071,1.0
10491031,FALSE POSITIVE,2.199069234,6.30646,225250.0,5915.4,118.99,2104.0,4632.97,6613.0,4.014,1.925,0.0
7673841,CONFIRMED,5.34182466,3.577,70.5,19.2,0.95,1125.0,379.09,5767.0,4.287,1.135,1.0
5642620,FALSE POSITIVE,0.493393859,1.1319,264.7,20.3,1.4,1505.0,1203.14,4474.0,4.67,0.614,0.0
8380709,CONFIRMED,24.3344939,6.557,323.1,18.1,1.74,647.0,41.3,6091.0,4.487,0.967,1.0
3962243,CONFIRMED,14.12847677,3.685,628.7,23.0,2.73,739.0,70.5,5779.0,4.477,0.974,1.0
3970233,FALSE POSITIVE,8.254912972,6.8822,19242.4,438.2,11.86,793.0,93.46,5366.0,4.5,0.835,0.0
6678383,CONFIRMED,11.427550984,4.6074,500.9,165.5,2.35,852.0,124.31,5979.0,4.394,1.005,1.0
10275887,FALSE POSITIVE,9.726748645,19.4093,393412.0,4414.3,277.38,997.0,233.38,5618.0,4.107,1.406,0.0
12066335,CONFIRMED,10.06524317,1.369,1053.3,30.3,1.91,488.0,13.43,4077.0,4.702,0.56,1.0
4852297,FALSE POSITIVE,3.28931936,1.921,166.0,11.1,50.51,1364.0,818.01,6335.0,4.427,1.072,0.0
6367663,FALSE POSITIVE,3.781123,8.15,90.4,9.0,1.16,1421.0,962.72,6318.0,4.247,1.216,0.0
10591855,CONFIRMED,1.574090323,1.5796,224.9,17.7,0.93,998.0,234.92,4313.0,4.662,0.65,1.0
12008916,FALSE POSITIVE,47.4314857,4.511,172.8,10.3,8.83,1029.0,265.1,5166.0,3.12,6.891,0.0
6364294,FALSE POSITIVE,5.2436612,11.39,88.3,14.5,1.1,1249.0,574.76,6598.0,4.387,1.145,0.0
9458613,CONFIRMED,21.77568158,7.9588,797.9,117.3,4.76,853.0,125.14,5900.0,4.022,1.694,1.0
7107802,CONFIRMED,10.41728722,4.125,210.4,20.3,1.64,870.0,135.34,5557.0,4.288,1.151,1.0
9024857,FALSE POSITIVE,379.11996,7.22,1107.7,9.2,2.74,221.0,0.57,5546.0,4.575,0.81,0.0
10987439,FALSE POSITIVE,10.67459836,3.82706,16676.0,1845.6,68.58,1083.0,325.55,6496.0,4.212,1.485,0.0
11705004,CONFIRMED,9.03326435,2.857,610.7,18.3,1.96,729.0,66.89,5311.0,4.588,0.788,1.0
7289317,CONFIRMED,16.83203175,4.031,326.0,21.6,1.86,690.0,53.44,5518.0,4.4,1.008,1.0
11442793,CONFIRMED,210.6013843,11.9922,4159.3,232.4,7.7,342.0,3.22,5970.0,4.317,1.2,1.0
3449540,FALSE POSITIVE,1.606003121,4.88602,402550.0,4679.3,360.08,3359.0,30041.73,5297.0,2.909,5.059,0.0
10854768,CONFIRMED,10.1171684,4.6677,288.7,50.6,3.07,1163.0,433.41,6306.0,4.077,1.792,1.0
8978528,CONFIRMED,18.6848377,3.7965,1251.5,41.2,1.93,402.0,6.16,4156.0,4.712,0.545,1.0
8608490,FALSE POSITIVE,0.541405029,2.7481,327656.0,541.2,125.64,2679.0,12266.51,5096.0,3.889,1.782,0.0
10028140,CONFIRMED,19.65639342,3.226,843.2,25.5,2.83,549.0,21.5,5288.0,4.613,0.74,1.0
6850504,CONFIRMED,3.696121272,2.463,383.4,130.0,1.78,1095.0,340.33,5465.0,4.449,0.925,1.0
11241814,FALSE POSITIVE,227.6625222,5.5072,13894.8,227.5,44.24,319.0,2.46,6124.0,4.414,1.007,0.0
8804283,CONFIRMED,13.26079792,3.912,199.4,17.6,1.47,760.0,78.79,5478.0,4.354,1.053,1.0
9899621,FALSE POSITIVE,1.33255492,3.63,66.6,10.1,0.92,1850.0,2765.99,6310.0,4.417,1.095,0.0
8972058,CONFIRMED,2.403640701,1.4012,74.9,16.3,1.24,1489.0,1164.85,5881.0,4.315,1.171,1.0
6962977,CONFIRMED,3.71545593,2.558,331.7,19.6,1.46,1001.0,237.42,5296.0,4.538,0.808,1.0
9531850,FALSE POSITIVE,0.66234265,1.049,2359.0,12.4,5.13,2089.0,4499.32,5780.0,4.438,1.0,0.0
8150320,CONFIRMED,4.617490562,2.2618,575.8,28.1,1.62,728.0,66.47,4500.0,4.656,0.646,1.0
8678594,CONFIRMED,15.19423359,3.106,367.8,18.1,3.69,893.0,150.25,5588.0,4.047,1.593,1.0
9785454,FALSE POSITIVE,184.52015392,15.3564,49269.0,1759.1,23.38,275.0,1.36,5341.0,4.514,0.776,0.0
7289317,CONFIRMED,16.83203175,4.031,326.0,21.6,1.86,690.0,53.44,5518.0,4.4,1.008,1.0
7777522,FALSE POSITIVE,0.885129679,3.156,177.3,21.2,1.21,1780.0,2373.06,5792.0,4.547,0.864,0.0
8302455,FALSE POSITIVE,2.441988077,3.94526,95343.5,1174.5,90.39,1993.0,3721.74,6078.0,3.874,2.059,0.0
4833421,CONFIRMED,12.466004437,5.0066,2232.1,304.6,5.65,897.0,152.76,6038.0,4.284,1.191,1.0
11601584,CONFIRMED,51.8098276,6.343,1025.4,56.8,2.6,410.0,6.71,5191.0,4.53,0.826,1.0
10387742,FALSE POSITIVE,251.7512,4.314,114.3,7.5,1.25,272.0,1.29,5640.0,4.492,0.921,0.0
6932987,CONFIRMED,19.25404023,4.6509,987.7,50.7,3.04,657.0,44.17,5798.0,4.507,0.941,1.0
8414716,CONFIRMED,5.392026903,2.9804,1151.4,77.4,2.68,850.0,123.33,5198.0,4.589,0.801,1.0
11442793,CONFIRMED,124.922516,11.942,498.7,24.4,3.37,407.0,6.45,5970.0,4.317,1.2,1.0
2581316,CONFIRMED,217.83184293,21.306,9148.7,1244.4,11.17,343.0,3.29,6259.0,4.385,1.167,1.0
11497958,CONFIRMED,63.3354719,3.651,983.0,13.0,1.18,202.0,0.39,3526.0,4.866,0.383,1.0
5802285,FALSE POSITIVE,1.208524388,1.8478,4759.6,181.3,26.71,1286.0,647.48,4963.0,4.63,0.701,0.0
8564674,CONFIRMED,5.92972237,2.518,412.1,8.9,1.92,972.0,210.95,5741.0,4.492,0.956,1.0
8883727,FALSE POSITIVE,2.529073751,1.8827,1572.9,73.4,25.8,1137.0,395.83,5465.0,4.598,0.766,0.0
10936427,FALSE POSITIVE,14.361021578,13.2895,459877.0,2599.0,45.9,594.0,29.44,5229.0,4.607,0.668,0.0
