koi_depth,koi_duration,koi_insol,koi_model_snr,koi_period,koi_prad,koi_slogg,koi_srad,koi_steff,koi_teq
114.3,2.94,296.73,14.4,5.36375016,1.15,4.33,1.098,5553.0,1059.0
90.6,2.1961,15984.12,26.6,0.888045184,2.04,3.908,2.087,6316.0,2870.0
33.9,13.55,354.37,6.7,12.422524,0.86,4.281,1.414,7225.0,1107.0
99.1,3.819,9100.75,24.0,1.72853003,2.43,3.882,2.237,6701.0,2492.0
284.7,6.3461,240.8,33.4,12.10968709,2.98,4.093,1.458,6021.0,1005.0
200.0,6.19,3220.92,45.9,0.566810701,1.49,4.584,0.752,5593.0,1921.0
447.2,2.4455,99.9,63.0,4.393157678,1.41,4.631,0.692,4799.0,807.0
425.9,2.3572,73.38,73.0,5.71489692,1.33,4.653,0.662,4926.0,747.0
471.3,1.7574,25.26,41.8,3.886795001,0.97,4.8,0.443,3751.0,571.0
534.5,2.711,77480.31,132.1,0.895277575,9.27,3.707,3.325,8040.0,4253.0
689.2,3.3996,1201.17,133.3,0.7906069,17.97,4.62,0.72,4994.0,1503.0
771.8,1.751,46.17,17.7,11.08507658,2.5,4.538,0.793,5080.0,665.0
4576.8,1.875,543.48,63.3,4.396999852,13.57,4.311,1.156,5949.0,1231.0
184.4,8.7682,112.64,48.9,24.3110031,2.3,4.017,1.693,5951.0,831.0
908.0,3.7386,20.82,118.8,16.78175788,2.25,4.588,0.742,4925.0,545.0
102.7,3.096,489.75,13.1,19.5148412,2.8,3.854,2.556,7004.0,1200.0
135.0,1.1656,7620.01,21.6,0.591280187,1.3,4.433,1.092,6246.0,2385.0
299.3,8.93,2.36,9.2,235.544698,2.13,4.244,1.255,5533.0,316.0
491.3,2.1121,341.68,58.8,5.370639542,2.54,4.355,1.085,5821.0,1096.0
65832.8,4.295,120.99,1053.1,9.380632783,46.72,4.519,0.913,5926.0,846.0
323.0,2.219,482.56,17.9,3.27645723,1.71,4.504,0.963,5812.0,1195.0
104.8,1.677,1157.58,15.4,0.96807117,0.72,4.639,0.687,5367.0,1487.0
76.8,2.627,170.74,9.5,10.8118317,1.24,4.331,1.196,6025.0,922.0
10478.9,9.4378,29.61,303.4,16.46983774,7.94,4.517,0.786,5152.0,595.0
2590.7,4.0374,30.14,123.8,16.23947096,4.14,4.564,0.837,5191.0,598.0
66876.8,5.39796,139.95,1133.5,15.039464523,51.71,4.329,1.178,6410.0,877.0
13552.6,1.7215,20.06,220.5,3.290304098,4.91,4.81,0.427,3386.0,540.0
141.5,11.233,57.28,24.1,51.0771048,3.66,3.62,3.051,5010.0,702.0
633.0,5.1126,104.37,46.4,17.30795548,3.56,4.117,1.439,5565.0,815.0
191.2,2.9095,383.51,24.0,3.73090026,1.48,4.489,0.95,5709.0,1128.0
145294.0,3.94077,149.21,842.1,10.443341795,44.35,4.421,1.005,6137.0,892.0
202.6,2.909,123.96,14.3,6.18670882,1.21,4.463,0.878,5114.0,851.0
490.8,2.6675,116.77,23.5,7.97033985,1.81,4.567,0.818,5774.0,839.0
177508.0,2.3321,27.45,197.6,20.8392148,51.9,4.488,0.812,5378.0,584.0
417.5,2.627,40.5,13.6,8.65315602,1.37,4.605,0.696,4746.0,643.0
3001.0,5.768,41.37,13.5,2.189097,13.92,4.848,0.406,3624.0,647.0
1628.1,8.297,2.51,53.5,284.063137,6.36,4.185,1.336,5791.0,321.0
6012.3,12.8653,1700.47,347.6,1.42796645,39.76,4.511,0.919,6099.0,1637.0
40.9,2.977,969.05,17.2,2.88878583,0.84,4.247,1.331,5696.0,1423.0
98872.1,7.48973,199.25,1203.4,5.321224925,40.62,4.544,0.758,5787.0,958.0
7736.4,1.5851,2.77,157.4,141.73403059,10.3,4.478,0.918,5606.0,329.0
286.5,2.9118,72.44,31.1,8.03753796,1.54,4.511,0.804,5044.0,744.0
249668.0,19.45,526.5,401.5,1.88984957,73.04,4.571,0.716,5328.0,1221.0
108.0,1.1108,3772.66,19.6,0.643468999,0.88,4.452,0.843,5670.0,2001.0
332900.0,16.1937,800.41,1767.3,9.751720174,182.09,3.424,3.145,5147.0,1356.0
4033.5,5.9288,6.81,149.9,134.4785189,10.52,4.185,1.336,5791.0,412.0
56.1,2.1689,3973.86,18.9,1.226223959,1.0,4.148,1.34,5855.0,2024.0
1185.1,1.2641,112.07,23.1,11.67894236,4.17,4.487,0.964,6122.0,830.0
