,Unnamed: 0,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,phys_smass,phys_sma,theo_depth,phys_depth_residual,theo_duration,phys_duration_residual,theo_radius_ratio,theo_distance_ratio,phys_impact_parameter_squared,phys_thermal,phys_thermal_residual,Target
1621,1621,7103919,CONFIRMED,10.7769944,2.616,185.6,11.3,1.15,752.0,75.83,5455.0,4.457,0.852,0.7582522682198091,0.0870690540382726,152.79803512585679,32.80196487414321,0.15610397536151582,2.4598960246384842,0.0123607222367312,21.975249848205006,0.5373175981595106,1.0026062679739358,-0.0026062679739358163,1.0
1622,1622,5299459,CONFIRMED,10.41572666,2.7719,825.3,69.3,3.01,797.0,95.64,5511.0,4.426,0.987,0.9474773439549872,0.0916734289569298,780.0096294753783,45.29037052462161,0.16599835639272462,2.6059016436072753,0.02792768546807797,19.972660210094602,0.5725465011602202,1.0022290887955663,-0.0022290887955662697,1.0
1623,1623,10577994,CONFIRMED,15.31296388,3.0935,864.9,45.3,2.34,581.0,26.98,5081.0,4.596,0.77,0.8529350844133682,0.1144473251855037,774.5537177911955,90.3462822088045,0.1525052777039273,2.9409947222960726,0.027829841568522036,31.96130562276125,0.34208918134343624,1.0011476620663395,-0.0011476620663395387,1.0
1624,1624,4455231,CONFIRMED,6.09747233,3.431,217.6,17.4,2.22,1197.0,485.84,5661.0,4.09,1.522,1.0393548176752414,0.0661630197320358,178.43412783235283,39.165872167647166,0.20762981127929825,3.223370188720702,0.013357461273748997,9.347818174145928,0.5528265524824358,1.000638914009792,-0.000638914009791991,1.0
1625,1625,9652655,FALSE POSITIVE,2.48882685,3.487,80.2,14.2,1.05,1477.0,1124.85,6246.0,4.433,1.092,1.1786362805387864,0.0379650409477218,77.54157174556212,2.6584282544378794,0.1059678166487311,3.381032183351269,0.008805464335865371,7.4760263673333744,-0.8622058686234355,0.9993862113690496,0.000613788630950407,0.0
1626,1626,11764462,CONFIRMED,5.69919592,2.3906,159.4,35.3,1.16,964.0,204.18,5646.0,4.493,0.932,0.98574901844449,0.0621429678945014,129.92281811048275,29.477181889517254,0.1265254951067203,2.26407450489328,0.011397974436467792,14.33790401771737,0.40314914727022366,0.9996910076803545,0.0003089923196455402,1.0
1627,1627,8120608,CONFIRMED,7.26731094,2.2691,659.1,47.8,1.14,464.0,10.93,3751.0,4.8,0.443,0.4515875716897324,0.056332276701033,555.3969987841975,103.70300121580249,0.0845981180384985,2.184501881961501,0.023566046312871295,27.34407066976256,-0.20131526968656144,0.9970316880921849,0.002968311907815102,1.0
1628,1628,3348082,CONFIRMED,33.1981761,4.709,336.7,11.8,3.21,678.0,49.9,5570.0,4.066,1.548,1.0173641767999728,0.2033117344032966,360.63629320503566,23.936293205035668,0.3741650965905211,4.334834903409479,0.01898976882354842,28.242366143160304,0.7633555618404597,0.9984871771015663,0.0015128228984336856,1.0
1629,1629,10872983,CONFIRMED,11.09432054,4.5945,1517.5,66.5,3.9,835.0,114.81,6046.0,4.486,0.972,1.0550354644220523,0.0991022788238755,1350.1995614235634,167.3004385764366,0.1610734164825985,4.433426583517401,0.03674378945089501,21.924362104502872,-0.3377203093215513,0.9986068406847094,0.001393159315290604,1.0
1630,1630,11671579,CONFIRMED,5.17624997,5.261,78.7,13.4,1.31,1243.0,565.42,5578.0,4.088,1.497,1.00087105398308,0.0585774352099519,64.22443154864615,14.475568451353851,0.1958155722397961,5.065184427760204,0.008013737215219092,8.414302907389983,-0.23710623290326116,1.0014917439565847,-0.0014917439565846902,1.0
1631,1631,9730163,CONFIRMED,4.871223664,1.5916,6462.0,50.5,1.56,341.0,3.18,3157.0,5.112,0.18,0.1529253695981948,0.0300731815014615,6299.491073777778,162.50892622222182,0.04315903619197236,1.5484409638080276,0.07936658521393322,35.926628277024264,-1.1959999320480688,0.994421088541338,0.0055789114586619615,1.0
1632,1632,9475552,CONFIRMED,6.56606941,1.8455,402.4,25.8,1.83,777.0,86.27,4818.0,4.481,0.856,0.8088762015291423,0.0639379166018306,383.31510058138264,19.08489941861734,0.13012516414454794,1.715374835855452,0.019577756686938053,16.06180342066865,0.6903317261880297,1.0007749924031482,-0.0007749924031481559,1.0
1633,1633,4633434,FALSE POSITIVE,22.271198511,4.58598,179042.0,2141.3,39.79,515.0,16.62,5068.0,4.556,0.73,0.6991659165391443,0.1374938556725369,249174.40875607505,70132.40875607505,0.175034514939273,4.4109454850607275,0.4991564424123924,40.50139862799373,1.0556945787012306,0.9989938738906897,0.0010061261093102791,0.0
1634,1634,3865567,FALSE POSITIVE,11.11620211,4.211,4843.9,115.3,8.96,853.0,125.21,6122.0,4.471,0.996,1.0701710674134954,0.0997048244787247,6787.32462002871,1943.4246200287107,0.1643766542870635,4.046623345712937,0.08238236834069065,21.52615311326839,0.03217386225280361,1.0000083183824418,-8.318382441752092e-06,0.0
1635,1635,11303815,FALSE POSITIVE,1.705782214,1.007,278.0,11.5,1.82,1455.0,1060.41,5387.0,4.38,1.009,0.8906700751223888,0.0268812106064262,272.87372650466904,5.126273495330963,0.09477776467238262,0.9122222353276173,0.016518318032632286,5.72884731212584,0.8373241745223874,1.0004204553519418,-0.0004204553519417953,0.0
1636,1636,8257205,CONFIRMED,148.4601819,5.499,1532.1,33.7,3.61,285.0,1.56,5159.0,4.548,0.821,0.8682021217056017,0.5234490570059752,1621.5463536259667,89.44635362596682,0.3446825210984387,5.154317478901561,0.04026703447329227,137.10107333791322,0.6402733775744768,0.9997833043024531,0.0002166956975468981,1.0
